"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered","selection","method2","MOE"
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","FE Egger",23,0.000900188387887297,0.000664752459306487,-0.000402726432353418,0.00220310320812801,0.175681883795935,FALSE,TRUE,"HF","FE Egger - HF",0.74
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Simple mode",23,0.000927626105263257,0.0010154753429342,-0.00106266899407624,0.00291792120460275,0.370888271855603,FALSE,TRUE,"HF","Simple mode - HF",0.74
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","RE IVW",24,0.000453869661883031,0.000438375804893142,-0.000405346915707526,0.00131308623947359,0.311272130798717,TRUE,FALSE,"DF","RE IVW - DF",0.74
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Simple mode",24,0.00092569876116874,0.00100822464197187,-0.00105038522542192,0.0029017827477594,0.368070347215738,TRUE,FALSE,"DF","Simple mode - DF",0.74
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","FE IVW",23,0.000313740329635256,0.000397154786512606,-0.000464683051929452,0.00109216371119996,0.429545343267866,TRUE,TRUE,"DF + HF","FE IVW - DF + HF",0.74
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Penalised mode",23,0.000463777448142274,0.000525308213037099,-0.000565807730193534,0.00149336262647808,0.386853633544513,FALSE,TRUE,"HF","Penalised mode - HF",0.73
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Weighted median",23,0.000321390082979033,0.000536530447051049,-0.000730190269850196,0.00137297043580826,0.549162512449586,TRUE,TRUE,"DF + HF","Weighted median - DF + HF",0.73
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Simple mode",23,0.000927626105263257,0.00106396592628513,-0.0011577087910334,0.00301296100155991,0.392702136526728,TRUE,TRUE,"DF + HF","Simple mode - DF + HF",0.73
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","RE Egger",23,0.000900188387887297,0.000664752459306487,-0.000402726432353418,0.00220310320812801,0.190075654161387,FALSE,TRUE,"HF","RE Egger - HF",0.71
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","FE IVW",24,0.000453869661883031,0.000402647364908005,-0.000405346915707526,0.00131308623947359,0.259652101812207,TRUE,FALSE,"DF","FE IVW - DF",0.71
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","RE Egger",24,0.000815340148239285,0.000754108980467974,-0.000662713453477944,0.00229339374995651,0.291319553904436,FALSE,FALSE,"Tophits","RE Egger - Tophits",0.7
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Weighted mode",24,0.000474806482125318,0.000485719679375357,-0.000477186596032724,0.00142679956028336,0.338476510009238,FALSE,FALSE,"Tophits","Weighted mode - Tophits",0.7
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","RE IVW",23,0.000313740329635256,0.000397154786512606,-0.000464683051929452,0.00109216371119996,0.437977790563076,FALSE,TRUE,"HF","RE IVW - HF",0.7
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Penalised mode",24,0.000474806482125318,0.000532296437158791,-0.0005684753638049,0.00151808832805554,0.381632395684989,TRUE,FALSE,"DF","Penalised mode - DF",0.7
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Weighted median",24,0.000337346480593749,0.000517747185522119,-0.000677419356126581,0.00135211231731408,0.514681164923657,FALSE,FALSE,"Tophits","Weighted median - Tophits",0.69
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Penalised mode",24,0.000474806482125318,0.000505122340925895,-0.000515215113875999,0.00146482807812664,0.356994223060662,FALSE,FALSE,"Tophits","Penalised mode - Tophits",0.69
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","FE Egger",24,0.000815340148239285,0.000683003812143232,-0.000662713453477944,0.00229339374995651,0.232573284869286,TRUE,FALSE,"DF","FE Egger - DF",0.67
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Penalised mode",23,0.000463777448142274,0.000546397496807049,-0.000607141966842382,0.00153469686312693,0.405138874492074,TRUE,TRUE,"DF + HF","Penalised mode - DF + HF",0.67
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","FE Egger",24,0.000815340148239285,0.000683003812143232,-0.000662713453477944,0.00229339374995651,0.232573284869286,FALSE,FALSE,"Tophits","FE Egger - Tophits",0.66
"ebi-a-GCST001791","ukb-d-C_LYMPHOMA","Weighted mode",24,0.000474806482125318,0.000506434029112342,-0.00051778597548038,0.00146739893973102,0.358217969048501,TRUE,FALSE,"DF","Weighted mode - DF",0.62
